EVE,DATE,LOC,HOUR
定山源泉公園,源泉に親しめる定山渓名所が2017年7月にリニューアル！,札幌市南区定山渓温泉東3丁目,定休日／無休営業時間／7：00～21：00
白糸の滝,初夏から秋まで、自然と共に様々な表情を見せてくれる小さな滝,札幌市南区定山渓温泉東2丁目,12月～4月上旬は休止（定山渓発電所冬期渇水停止のため）
札幌ら～めん共和国,厳選の北海道ラーメンが集結！どれを選んでも間違いなし！,北海道札幌市中央区北5条西2丁目エスタ10階,年中無休11:00～22:00（ラストオーダー21:45）※年末年始は営業時間が変更になる場合もあります。
ノースサファリサッポロ,70種類以上の動物と触れ合えたり、エサをあげることができる動物園。お子さまに大人気のカピバラやウサギ、カワウソなども！,札幌市南区豊滝496-1,(ノースサファリサッポロ営業案内)動物園は2018年1月6日～1月21日毎日営業、以降4月1日まで土日祝日のみ営業アクティビティは3月21日まで毎日営業4月2日～4月24日メンテナンスの為休園4月28日～夏季営業開始※詳細はＨＰをご確認ください
スノーベリーファーム,おいしいイチゴが食べ放題！完熟イチゴのもぎたての味わいを満喫しよう,札幌市南区豊滝130,営業時間：9：00～16：00(受付～15：00)定休日：月・火・水・木・金(季節によって平日も営業しています)
札幌観光幌馬車,30年余年、札幌市民に愛されてきた銀太くんの幌馬車で、のんびり名所観光,札幌市中央区大通4丁目乗り場,運行期間：4月末～11月3日(雨天中止)水曜日10：00～16：00、9月～11月は15：00まで昼休み12：00～13：00　　
サッポロ さとらんど　(農業体験交流施設),自然と農業に触れる、楽しい・おいしい“田園テーマパーク”,札幌市東区丘珠町584-2,営業期間：4月29日～11月3日／無休、11月4日～4月28日／月曜(祝日の場合はその翌日)、年末年始(12月29～1月3日)営業時間：4月29日～9月30日／9:00～18:00、10月1日～4月28日／9:00～17:00　
札幌市天文台,天文台の一般夜間公開で星座や惑星を観る。天文に詳しくなくても大丈夫,札幌市中央区中島公園1-17,公開時間：10：00～12：00、14：00～16：00休館日：月曜、火曜午後、祝日の翌日、年末年始夜間公開：20：00～22：00(4月～8月)　　　　　19：00～21：00(3月・9月・10月) 　　　　　18:00～20：00(11月～2月)
札幌市青少年科学館,北海道の特色を体験しながら学べる！大人も夢中になれる科学体験ワールド,札幌市厚別区厚別中央1条5丁目2-20,月曜、毎月最終火曜日、祝日の翌日、年末年始・9:00～17:00(5月～9月)、9:30～16:30(10月～4月)
さっぽろうぉ～く（循環型路線バス）,札幌市内観光は、お財布にも環境にもやさしい循環型路線バスがおすすめ,札幌駅前バスターミナル、札幌駅前,さっぽろうぉ～く／毎日6:50～22:50まで概ね20分間隔で運行
さっぽろ羊ヶ丘展望台,クラーク博士と同じポーズで、ハイ・チーズ！札幌の記念写真スポットの定番です,札幌市豊平区羊ヶ丘1,■定休日なし■営業時間5～6月／8:30～18:00　7～8月／8:30～19:00　9月／8：30～18：0010～4月／9:00～17:00
Steven's Stable　(乗馬),外国人ガイドと海外でトレッキングしている気分を味わおう！,札幌市西区小別沢149,営業時間：10:00～日没まで定休日：月曜日
サッポロファクトリー,札幌の歴史と先端を象徴する巨大なショッピングモール,札幌市中央区北2条東4丁目,営業時間：ショッピング10:00～20:00　レストラン11:00～22:00一部店舗異なる定休日：不定休
札幌市時計台(旧札幌農学校演武場)  (重要文化財),札幌の歴史を刻み続けてきた時計台の息づかいを感じてください,札幌市中央区北1条西2丁目1－1,・定休日：年始（1月1日～1月3日）・営業時間　8：45～17：10(入館は17：00まで)
渡辺淳一文学館,ベストセラー作家・渡辺淳一自身が展示内容を構成・企画した文学館,札幌市中央区南12条西6丁目414,営業時間／9：00～18：00（11月～3月は17：30）※最終入館は閉館の30分前定休日／月曜日（祝日の場合は翌平日）
大通公園,都市の真ん中に花々と水辺があり、のんびり憩える公園がある。札幌の自慢です,札幌市中央区大通西1～12丁目,休園日なし・24時間開園
札幌Skyクルージング　(遊覧飛行),空の上の爽快札幌散歩。大感動のパノラマビューが待っています,札幌市東区丘珠町63　札幌丘珠空港内,営業時間：4月～10月　9：00～17：00(着陸)11月～3月　9：00～16：00(着陸)定休日：なし
本郷新記念 札幌彫刻美術館,あなたが旅先の名所で何気なく観ていた彫刻は、 本郷新の作品かもしれません,札幌市中央区宮の森4条12丁目,営業時間：10:00～17:00(入館16:30まで)定休日：月曜日(祝日の場合翌日)年末年始・展示換え期間
豊平峡ダム（紅葉）,眼下に広がる定山湖と色鮮やかな木々の景観美を楽しめます,札幌市南区定山渓840番地先,営業期間／2016年5月1日（日）～11月3日（木祝）営業時間／8：45～16：00
ビッセスイーツ,道内の人気スイーツ6店舗が大集合した至福の空間,札幌市中央区大通西3丁目　大通ビッセ1階,10：00～21：00
大倉山展望台,頂上から眺める札幌の街並みは絶景！急斜面のアプローチからはスキージャンプの緊張感が伝わってくる,札幌市中央区宮の森1274,■大倉山展望台リフト：4月29日～11月3日／8：30～18：00、11月4日～翌年4月28日／9：00～17：00■ラムダイニング大倉山：年末年始は休み・営業時間／ランチ11：30～14：00(LO.13：30)／ディナー17：30～21：30(LO.21：00)
北海道四季劇場,「舞台と客席に一体感がある、濃密な空間」がコンセプト,札幌市中央区大通東1丁目10,公演日程に準じます
札幌国際スキー場,札幌市内からでも1時間圏内。初級から上級まで大満足の施設充実スキー場,札幌市南区定山渓937番地先,(営業時間)平日9：00～17：00　土日祝9：00～18：00(3/24～5/6のスプリング期間は平日9：00～16：30　土日祝9：00～17：00)※天候状況により変更となる場合があります
